Country,Code,Continent_region,Year,High_body_mass_index,Population,Total_death_rate,Death_rate_per_100k_people
Afghanistan,AFG,Asia,2019,22048,37769499,209370,554.3361854
Albania,ALB,Europe,2019,3120,2854191,28500,998.531633
Algeria,DZA,Africa,2019,36087,42705368,248758,582.4982002
American Samoa,ASM,Oceania,2019,95,47321,440,929.8197418
Andorra,AND,Europe,2019,58,76343,461,603.8536605
Angola,AGO,Africa,2019,6981,32353588,105877,327.2496392
Antigua and Barbuda,ATG,North America,2019,91,92117,562,610.0936852
Argentina,ARG,South America,2019,36676,44938712,279007,620.8611408
Armenia,ARM,Asia,2019,4463,2820602,36622,1298.375311
Australia,AUS,Oceania,2019,18712,25340217,115179,454.5304407
Austria,AUT,Europe,2019,8982,8879920,74571,839.771079
Azerbaijan,AZE,Asia,2019,14333,10024283,105302,1050.469146
Bahrain,BHR,Asia,2019,1127,1494188,5933,397.0718544
Bangladesh,BGD,Asia,2019,43803,165516222,970115,586.1147556
Barbados,BRB,North America,2019,451,280180,2666,951.5311585
Belarus,BLR,Europe,2019,19272,9419758,153255,1626.952624
Belgium,BEL,Europe,2019,8573,11488980,86707,754.6971098
Belize,BLZ,North America,2019,298,389095,1612,414.2947095
Benin,BEN,Africa,2019,4072,12290444,54239,441.3103383
Bermuda,BMU,North America,2019,80,63911,469,733.8329865
Bhutan,BTN,Asia,2019,307,767459,3938,513.1218736
Bolivia,BOL,South America,2019,8983,11777315,53929,457.9057281
Bosnia and Herzegovina,BIH,Europe,2019,5845,3360711,54412,1619.062157
Botswana,BWA,Africa,2019,2137,2499702,15296,611.91294
Brazil,BRA,South America,2019,177940,211782878,1152449,544.1653314
Bulgaria,BGR,Europe,2019,22742,6975761,177175,2539.86626
Burkina Faso,BFA,Africa,2019,5798,20951639,116939,558.137719
Burundi,BDI,Africa,2019,1813,11874838,55599,468.2084926
Cambodia,KHM,Asia,2019,5255,16207746,113008,697.2468596
Cameroon,CMR,Africa,2019,13529,25782341,128405,498.034682
Canada,CAN,North America,2019,29814,37601230,212170,564.2634563
Central African Republic,CAF,Africa,2019,1325,5209324,40797,783.153438
Chad,TCD,Africa,2019,2714,16126866,102015,632.5779603
Chile,CHL,South America,2019,14095,19039485,98543,517.5717726
China,CHN,Asia,2019,764698,1407745000,13409833,952.5754309
Colombia,COL,South America,2019,25730,50187406,191401,381.3725698
Comoros,COM,Africa,2019,309,790986,3767,476.241046
Costa Rica,CRI,North America,2019,2804,5084532,19431,382.159066
Cote d'Ivoire,CIV,Africa,2019,8152,26147551,111121,424.9767024
Croatia,HRV,Europe,2019,7660,4065253,63838,1570.332769
Cuba,CUB,North America,2019,11920,11316697,100247,885.8326771
Cyprus,CYP,Asia,2019,802,1228836,8293,674.8662962
Czechia,CZE,Europe,2019,17453,10671870,133620,1252.076721
Denmark,DNK,Europe,2019,4128,5814422,43825,753.7292615
Djibouti,DJI,Africa,2019,360,1073994,4551,423.7453841
Dominica,DMA,North America,2019,115,71428,635,889.0071121
Dominican Republic,DOM,North America,2019,9134,10881882,65898,605.5753959
Ecuador,ECU,South America,2019,13454,17343740,68009,392.1241901
El Salvador,SLV,North America,2019,5260,6280217,33639,535.6343579
Equatorial Guinea,GNQ,Africa,2019,506,1553031,3674,236.5696499
Eritrea,ERI,Africa,2019,1686,3498818,28504,814.6751274
Estonia,EST,Europe,2019,3026,1326898,16275,1226.544919
Eswatini,SWZ,Africa,2019,1280,1169613,7449,636.8773261
Ethiopia,ETH,Africa,2019,14961,114120594,347063,304.1195176
Fiji,FJI,Oceania,2019,2352,918465,11174,1216.59508
Finland,FIN,Europe,2019,5581,5521606,48634,880.7944645
France,FRA,Europe,2019,46898,67388001,402771,597.6894907
Gabon,GAB,Africa,2019,1309,2242785,8831,393.7515188
Georgia,GEO,Asia,2019,8568,3720161,69032,1855.618614
Germany,DEU,Europe,2019,106143,83092962,879851,1058.87548
Ghana,GHA,Africa,2019,17781,31522290,145698,462.2062674
Greece,GRC,Europe,2019,13080,10721582,118223,1102.663767
Greenland,GRL,North America,2019,50,56225,391,695.4201867
Grenada,GRD,North America,2019,126,122724,787,641.27636
Guam,GUM,Oceania,2019,220,168624,1226,727.061391
Guatemala,GTM,North America,2019,8174,16604026,72155,434.56328
Guinea,GIN,Africa,2019,3910,12877539,68799,534.2558077
Guinea-Bissau,GNB,Africa,2019,619,1970457,10013,508.1562297
Guyana,GUY,South America,2019,1129,798753,6902,864.0969111
Haiti,HTI,North America,2019,5592,11160438,85291,764.2262786
Honduras,HND,North America,2019,5622,9958829,48852,490.5396006
Hungary,HUN,Europe,2019,20490,9771141,162490,1662.958297
Iceland,ISL,Europe,2019,204,360563,1598,443.1957799
India,IND,Asia,2019,579108,1383112050,9986827,722.0548039
Indonesia,IDN,Asia,2019,186657,269582878,1914553,710.190875
Iraq,IRQ,Asia,2019,36481,41563520,250157,601.8667331
Ireland,IRL,Europe,2019,2977,4934340,25504,516.8675041
Israel,ISR,Asia,2019,5134,9054000,37688,416.2580075
Italy,ITA,Europe,2019,64136,59729081,558249,934.6351738
Jamaica,JAM,North America,2019,3434,2813773,19347,687.5821184
Japan,JPN,Asia,2019,51822,126633000,842925,665.6440264
Jordan,JOR,Asia,2019,7548,10698683,38837,363.0072973
Kazakhstan,KAZ,Asia,2019,22828,18513673,173146,935.2331112
Kenya,KEN,Africa,2019,15025,50951450,175566,344.5750808
Kiribati,KIR,Oceania,2019,229,124241,1521,1224.233546
Kuwait,KWT,Asia,2019,2317,4441100,13402,301.7720835
Latvia,LVA,Europe,2019,4366,1913822,30631,1600.514572
Lebanon,LBN,Asia,2019,6165,5781907,45273,783.0115566
Lesotho,LSO,Africa,2019,2328,2225702,20029,899.8958531
Liberia,LBR,Africa,2019,1719,4985289,19372,388.5832898
Libya,LBY,Africa,2019,6200,6569088,38115,580.2175279
Lithuania,LTU,Europe,2019,5807,2794137,40225,1439.621608
Luxembourg,LUX,Europe,2019,353,620001,3398,548.0636322
Madagascar,MDG,Africa,2019,8532,27533134,127057,461.4694426
Malawi,MWI,Africa,2019,4553,18867337,72259,382.9846258
Malaysia,MYS,Asia,2019,19105,32804020,168244,512.8761658
Maldives,MDV,Asia,2019,110,504508,1377,272.9391803
Mali,MLI,Africa,2019,5318,20567424,102732,499.4889005
Malta,MLT,Europe,2019,369,504062,3614,716.9752927
Marshall Islands,MHL,Oceania,2019,74,44728,493,1102.21785
Mauritania,MRT,Africa,2019,1755,4383849,15573,355.2357757
Mauritius,MUS,Africa,2019,2236,1265985,13563,1071.339708
Mexico,MEX,North America,2019,125591,125085311,691863,553.1129071
Moldova,MDA,Europe,2019,6769,2664224,49878,1872.13988
Monaco,MCO,Europe,2019,50,37034,385,1039.585246
